label,node_rows,image_count,reviewer_count,q1_no_pct,q1_uncertain_pct,critical_nodes_all,critical_rate_all_pct,critical_share_of_dataset_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_depth,avg_bbox_pct,top_critical_questions
glass,85,77,19,4.71,0.0,17,20.0,0.33,52.94,16.05,50.62,1.9882,18.3512,Q2:4|Q1:4|Q5:3|Q6:3|Q7:2
bag,87,81,19,9.2,2.3,17,19.54,0.33,48.28,11.69,41.56,1.2874,15.1138,Q1:8|Q3:5|Q8:2|Q2:2|Q4:2
forehead,221,211,20,1.81,0.0,17,7.69,0.33,40.27,5.99,39.17,3.2398,5.0989,Q2:8|Q4:4|Q1:4|Q5:4|Q3:2
rail,43,36,17,13.95,2.33,16,37.21,0.31,76.74,27.78,72.22,2.4884,14.7363,Q2:8|Q1:6|Q4:5|Q3:3|Q5:2
car,91,88,20,3.3,1.1,16,17.58,0.31,42.86,14.94,40.23,1.1758,17.6266,Q2:8|Q1:3|Q5:3|Q7:2|Q4:2
shoe,134,116,20,2.24,0.0,16,11.94,0.31,47.01,9.92,45.8,2.0672,9.6039,Q2:12|Q3:4|Q1:3|Q5:1
flower,39,33,16,7.69,5.13,15,38.46,0.29,74.36,35.29,70.59,1.9231,17.76,Q2:11|Q1:3|Q4:2|Q5:1|Q3:1
snow,41,33,19,7.32,0.0,15,36.59,0.29,70.73,31.58,68.42,1.3902,48.2229,Q2:10|Q5:5|Q3:4|Q1:3|Q4:1
slat,48,38,17,6.25,0.0,15,31.25,0.29,62.5,26.67,60.0,2.8125,14.1333,Q2:9|Q3:4|Q1:3|Q5:2|Q4:1
wheel,162,134,20,1.23,3.7,15,9.26,0.29,40.74,8.44,37.66,2.1173,7.0041,Q2:8|Q5:4|Q8:4|Q1:2
seam,37,34,18,21.62,2.7,14,37.84,0.27,62.16,21.43,50.0,3.2432,4.6311,Q1:8|Q2:3|Q5:2|Q4:1
lettering,51,40,15,0.0,0.0,14,27.45,0.27,58.82,27.45,58.82,2.9804,9.4812,Q2:6|Q5:4|Q6:3|Q4:3|Q8:1
hem,78,75,20,7.69,1.28,14,17.95,0.27,50.0,11.27,45.07,3.1795,4.0518,Q1:6|Q2:5|Q5:2|Q4:1|Q3:1
floor,145,139,20,2.76,0.0,14,9.66,0.27,35.86,7.09,34.04,1.2,27.3811,Q2:6|Q1:4|Q5:3|Q4:1|Q3:1
brick,26,24,13,0.0,7.69,13,50.0,0.25,76.92,54.17,75.0,2.7692,10.8538,Q2:12|Q3:1|Q8:1
surface,31,30,15,3.23,0.0,13,41.94,0.25,77.42,40.0,76.67,2.1935,30.2139,Q2:10|Q5:2|Q4:1|Q1:1
bracket,35,33,17,25.71,8.57,13,37.14,0.25,71.43,17.39,56.52,2.4857,8.7006,Q1:9|Q2:3|Q3:2|Q5:1
pavement,44,44,19,4.55,2.27,13,29.55,0.25,59.09,26.83,56.1,1.75,29.8045,Q5:7|Q2:5|Q8:2|Q1:2
dirt,46,44,20,4.35,2.17,13,28.26,0.25,58.7,25.58,55.81,1.6522,45.1741,Q2:5|Q8:4|Q1:2|Q3:2|Q4:2
light,53,48,20,7.55,1.89,13,24.53,0.25,49.06,18.75,43.75,1.8302,11.1419,Q2:6|Q1:4|Q4:2|Q5:1
track,36,26,15,11.11,0.0,12,33.33,0.23,69.44,25.0,65.62,1.4722,23.3711,Q2:6|Q1:4|Q5:3|Q4:2
line,41,37,16,2.44,0.0,12,29.27,0.23,73.17,27.5,72.5,1.9756,27.6946,Q2:10|Q5:2|Q4:2|Q1:1
cable,43,35,18,4.65,0.0,12,27.91,0.23,72.09,24.39,70.73,1.7442,15.8379,Q2:8|Q5:4|Q4:3|Q1:2|Q3:1
column,49,44,18,8.16,4.08,12,24.49,0.23,53.06,18.6,46.51,2.3469,11.9069,Q2:7|Q1:4|Q3:1|Q5:1
lamp,58,55,18,6.9,3.45,12,20.69,0.23,46.55,15.38,40.38,1.5,7.7995,Q8:7|Q1:4|Q5:1
logo,137,109,20,2.92,3.65,12,8.76,0.23,37.96,6.25,33.59,2.9635,4.6433,Q2:6|Q1:4|Q5:2|Q8:1
grout,21,20,14,0.0,0.0,11,52.38,0.21,90.48,52.38,90.48,2.0,17.6362,Q2:10|Q5:3|Q3:2|Q4:1
